address, orgdownNm, orgCd
인천광역시서구,동물에반하다동물병원,328356201800001
인천광역시연수구,노성남동물병원,328352201400005
인천광역시연수구,신퍼피클럽동물병원,328352201400004
인천광역시연수구,인천광역시수의사회,328352201400001
인천광역시연수구,주주동물병원,328352201400002
인천광역시연수구,웰니스클리닉 연수점,328352201600002
인천광역시연수구,웰 동물병원 ,328352201900001
인천광역시연수구,송도건국동물병원,328352201700002
인천광역시연수구,연수동물병원,328352201800002
인천광역시연수구,닥터비 동물병원,328352201800003
인천광역시연수구,따뜻한 동물병원,328352201800004
인천광역시연수구,베리떼 동물병원,328352201800001
인천광역시연수구,아름다운 동물병원,328352202000004
인천광역시연수구,포시즌 동물병원,328352202000001
인천광역시연수구,라파엘 동물병원,328352202000003
인천광역시연수구,연수동물메디컬센터,328352202000002
인천광역시옹진군,인천수의사회유기동물,328358201000001
인천광역시중구,경동동물병원,328349201000001
인천광역시중구,신공항동물병원,328349201500001
인천광역시중구,참동물병원,328349201900001
인천광역시중구,현대동물병원,328349201800001
광주광역시광산구,광주 동물보호소,329363201300001
광주광역시남구,광주 동물보호소,329361201300001
광주광역시동구,광주 동물보호소,329359201300001
광주광역시동구,현동물병원,329359201700001
광주광역시동구,신세계동물병원,329359201700004
광주광역시동구,튼튼동물병원,329359201700005
광주광역시동구,두손너에게,329359201700003
광주광역시동구,민동물병원,329359201700002
광주광역시북구,광주 동물보호소,329362201300001
광주광역시서구,광주 동물보호소,329360201300001
광주광역시서구,광주광역시캣맘협의회,329360201900001
대전광역시대덕구,대전동물보호센터,330368202000001
대전광역시동구,대전동물보호센터,330364202000001
대전광역시서구,대전동물보호센터,330366202000001
대전광역시유성구,대전동물보호센터,330367200900001
대전광역시중구,대전동물보호센터,330365202000001
울산광역시남구,미래펫동물병원,331370200900003
울산광역시남구,사랑동물병원,331370200900001
울산광역시남구,남산동물병원,331370200900007
울산광역시남구,스마일동물병원,331370201200001
울산광역시남구,울산유기동물보호센터,331370201200003
울산광역시남구,리틀쥬동물의료원,331370201600002
울산광역시남구,강남동물병원,331370201800001
울산광역시남구,주동물병원,331370202000001
울산광역시동구,동울산동물병원,331371201000004
울산광역시동구,일산동물의료센터,331371201000001
울산광역시동구,울산유기동물보호센터,331371201200001
울산광역시북구,이솝동물병원,331372200900002
울산광역시북구,쿨펫동물병원,331372200900003
울산광역시북구,울산유기동물보호센터,331372201200001
울산광역시북구,쿨펫 홈플러스 북구점,331372202000002
울산광역시북구,정철동물병원,331372202000001
울산광역시울주군,울산유기동물보호센터,331373201200002
울산광역시울주군,와우동물병원,331373201200001
울산광역시울주군,온양 발리동물병원,331373201600003
울산광역시울주군,삼성동물병원,331373201600004
울산광역시울주군,범서조은동물병원,331373201600001
울산광역시울주군,와우동물병원,331373201600005
울산광역시울주군,굴화종합동물병원,331373201600009
울산광역시울주군,초록동물병원,331373201600002
울산광역시울주군,남창미르동물병원,331373201600006
울산광역시울주군,BB동물병원,331373201600007
울산광역시울주군,MK동물병원,331373201600008
울산광역시중구,울산유기동물보호센터,331369201400003
울산광역시중구,학성동물병원,331369201900003
울산광역시중구,산타클라라동물병원,331369201900001
울산광역시중구,울산동물병원,331369200900004
울산광역시중구,라온동물메디컬센터,331369201900005
울산광역시중구,쿨펫동물병원,331369201900004
울산광역시중구,메이동물병원,331369201900006
경기도가평군,가평군유기동물보호소,341416200900001
경기도고양시,고양시동물보호센터,341394201400001
경기도과천시,수성동물병원,341397201400001
경기도광명시,한국야생동물보호협회,341390201300001
경기도광명시,한샘종합동물병원,341390201900002
경기도광명시,뉴광명동물메디컬센터,341390202000001
경기도광주시,광주TNR동물병원송정,341554201300008
경기도광주시,광주TNR동물병원초월,341554201900001
경기도구리시,한국동물구조관리협회,341398200900001
경기도군포시,군포시 보호소,341402200900001
경기도군포시,군포시청,341402201900002
경기도군포시,한빛동물병원,341402202000001
경기도김포시,한국동물구조관리협회,341409201400001
경기도남양주시,남양주동물보호협회,341399201500001
경기도남양주시,동인동물병원,341399201900001
경기도남양주시,마이펫동물병원,341399201900002
경기도남양주시,장현동물병원,341399201900003
경기도남양주시,화도동물병원,341399201900004
경기도동두천시,한국동물구조관리협회,341392201300001
경기도동두천시,러브펫동물병원,341392202000002
경기도동두천시,세이프캣티엔알,341392202000001
경기도부천시,24시아이동물메디컬,341386200900001
경기도부천시,부천시수의사회,341386201500001
경기도부천시,상동물병원,341386201600001
경기도부천시,하노바동물병원,341386201800006
경기도부천시,가나동물병원,341386201800001
경기도부천시,cj동물병원,341386201800004
경기도부천시,서울베스트동물병원,341386201900001
경기도부천시,샐리동물병원,341386201900002
경기도부천시,가야동물병원,341386201900003
경기도부천시,맘스동물병원,341386202000001
경기도성남시,펫토피아동물병원,341378201300002
경기도성남시,우리동물병원,341378201500001
경기도성남시,우리들 동물병원,341378201800001
경기도수원시,수원시 동물보호센터,341374202000001
경기도수원시,21세기동물병원,341374202000004
경기도수원시,한빛동물병원,341374202000002
경기도수원시,신영통동물병원,341374202000003
경기도수원시,이든동물병원,341374202000005
경기도시흥시,한국야생동물보호협회,341401201300001
경기도시흥시,시흥시농업기술센터,341401201700001
경기도시흥시,호수동물병원,341401201900001
경기도시흥시,목감동물병원,341401202000002
경기도시흥시,내마음속동물병원,341401202000003
경기도시흥시,내마음속동물병원,341401202000001
경기도안산시,한국야생동물보호협회,341393200900001
경기도안산시,이리온동물병원안산점,341393201900001
경기도안산시,웰니스동물병원고잔점,341393201900003
경기도안산시,삼성동물병원,341393201900005
경기도안성시,이성준동물병원,341408200900001
경기도안양시,한국야생동물보호협회,341383201300001
경기도안양시,하은동물병원,341383201800001
경기도양주시,한국동물구조관리협회,341559200900001
경기도양평군,양평군유기동물보호소,341417201800001
경기도여주시,위더스 동물보호센터,341570201900003
경기도연천군,한국동물구조관리협회,341414201300001
