dog_id, age, weight, sex, kind, color, neuter, thumnail, profile, careAddr, careNm	, special, find_place , find_date , end_date
N448535202001303,2020(년생),3(Kg),F,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202009091009739_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091009739.jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,유기동물및관리협회,1314/ 3월추정/ 탈진/ 허약/ 이빨다남,김해시 한림 119,20200909,20200921
N448535202001302,2020(년생),3(Kg),F,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202009091009514[1]_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091009514[1].jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,유기동물및관리협회,1313/ 3월추정/ 탈진/ 허약/ 이빨다남,김해시 한림 119,20200909,20200921
N448535202001301,2020(년생),3(Kg),M,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/20200909100920_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20200909100920.jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,유기동물및관리협회,1312/ 3월추정/ 탈진/ 허약/ 이빨다남,김해시 한림 119,20200909,20200921
N448535202001300,2020(년생),3(Kg),M,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202009091009104_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091009104.jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,유기동물및관리협회,1311/ 3월추정/ 탈진/ 허약/ 이빨다남,김해시 한림 119,20200909,20200921
N448535202001299,2015(년생),20(Kg),F,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202009091009557_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091009557.jpg,부산광역시 강서구 가락대로1283번길 25-2 (봉림동) (사)유기동물및보호관리협회,유기동물및관리협회,1310/ 탈진/ 허약/ 머리부상,김해시 한림 119,20200909,20200921
N448528202000895,2020(년생),1.5(Kg),F,믹스견,흰색/연갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202009090709211_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009090709211.jpg,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,마산유기동물보호소,얼굴부분 연갈색,회원남31길 45 주변,20200909,20200921
N448528202000894,2019(년생),6(Kg),M,믹스견,흰색/연갈색,U,http://www.animal.go.kr/files/shelter/2020/07/202009090709921_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009090709921.jpg,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,마산유기동물보호소,목줄/빨간 리드줄 착용/ 순함,양덕동 23-18,20200909,20200921
N448528202000893,2020(년생),3(Kg),F,믹스견,갈색/검정,N,http://www.animal.go.kr/files/shelter/2020/07/202009090709876_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009090709876.jpg,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,마산유기동물보호소,가슴/발끝 흰색,예곡동 998 주변,20200909,20200921
N448528202000892,2020(년생),2.5(Kg),F,믹스견,연갈/베이지/검정,N,http://www.animal.go.kr/files/shelter/2020/07/202009090709233_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009090709233.jpg,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,마산유기동물보호소,20-381과 함께 입소,오동동 다리 밑 산책로,20200909,20200921
N448528202000891,2020(년생),2.5(Kg),M,믹스견,연갈/베이지/검정,N,http://www.animal.go.kr/files/shelter/2020/07/202009090709456_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009090709456.jpg,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,마산유기동물보호소,20-382와 함께 입소,오동동 다리 밑 산책로,20200909,20200921
