dog_id, age, weight, sex, kind, color, neuter, thumnail, profile, careAddr, careNm, special, find_place , find_date , end_date
N431373202001159,2015(년생),18.7(Kg),Q,믹스견,검정/갈색/흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202009101109183_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101109183.jpg,울산광역시 울주군 온양읍 발리 1144,울산유기동물보호센터,경계심심함/상세정보추후기재/목테착용/목에피부병,울주군 삼동면 둔기리 364 인근,20200910,20200921
N431373202001158,2020(년생),3.8(Kg),M,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009101009384_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101009384.jpg,울산광역시 울주군 온양읍 발리 1144,울산유기동물보호센터,순함,울주군 웅촌면 오복새각단길 인근,20200910,20200921
N430365202000711,2018(년생),9.00(Kg),M,웰시 코기 카디건,백황,N,http://www.animal.go.kr/files/shelter/2020/07/202009101109223_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101109223.jpg,대전광역시 유성구 갑동로15번길 20-39 (갑동) 대전동물보호센터,대전동물보호센터,/,사정동 우남스타운@ 주변 ,20200910,20200921
N430364202000484,2019(년생),8(Kg),F,보더 콜리,흑백,U,http://www.animal.go.kr/files/shelter/2020/07/202009100909741_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009100909741.jpg,대전광역시 유성구 갑동로15번길 20-39 (갑동) 대전동물보호센터,대전동물보호센터, ,중앙동사무소 앞 하천 인근,20200910,20200921
N429359202000340,2015(년생),7(Kg),F,말티즈,흰,U,http://www.animal.go.kr/files/shelter/2020/07/202009091509790_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091509790.jpg,광주광역시 북구 본촌마을길 25 (본촌동/ 건국동사무소) 광주 동물보호소,광주 동물보호소,20-1342 순무,동구 계림동,20200910,20200921
N428355202000700,2020(년생),3.0(Kg),M,믹스견,검정색/갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202009092209592_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009092209592.jpg,인천광역시 계양구 장제로 923 (병방동) ,신영재동물병원,순함,다남동 청룡장앞,20200910,20200921
N428355202000699,2020(년생),3.5(Kg),F,믹스견,검정색,N,http://www.animal.go.kr/files/shelter/2020/07/202009092209871_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009092209871.jpg,인천광역시 계양구 장제로 923 (병방동) ,신영재동물병원,순함,다남동 청룡장앞,20200910,20200921
N428355202000698,2020(년생),2.5(Kg),M,믹스견,검정색/백색,N,http://www.animal.go.kr/files/shelter/2020/07/202009092209741_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009092209741.jpg,인천광역시 계양구 장제로 923 (병방동) ,신영재동물병원,순함,다남동 청룡장앞,20200910,20200921
N428355202000697,2020(년생),3.5(Kg),F,믹스견,검정색,N,http://www.animal.go.kr/files/shelter/2020/07/202009092209723_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009092209723.jpg,인천광역시 계양구 장제로 923 (병방동) ,신영재동물병원,순함,다남동 청룡장앞,20200910,20200921
N428349202000840,2014(년생),4.7(Kg),F,푸들,갈색,U,http://www.animal.go.kr/files/shelter/2020/07/202009091809955_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091809955.jpg,인천광역시 중구 운중로 33 (운남동) ,신공항동물병원,털이 엄킴/ 사람 잘 따름,미단시티공원,20200910,20200921
